company_name,company_link,company_id,company_domain,company_about,company_founded,company_size,company_location_1,company_location_2,company_location_3,company_city_1,company_city_2,company_city_3,company_address,company_postal_code,company_phone,company_industry_1,company_industry_2,company_industry_3,domain_status,company_specialties,company_size_category,social_fields,keywords,annual_revenue,technologies,funding_events,total_funding,last_funding_round_date,last_funding_stage,alexa_ranking,crunchbase_url,market_cap,company_email
Spotlight Retail Group (SRG),https://www.linkedin.com/company/spotlight,https://www.linkedin.com/company/10397,spotlightgroup.com,"Encompassing iconic Australian retailers Spotlight, Anaconda, Harris Scarfe, and Mountain Designs, Spotlight Retail Group (SRG) is one of A/NZ’s largest and fastest-growing retail operations.Founded in 1973, brothers Morry Fraid and Ruben Fried bought with them a business philosophy formed from years of supporting their parent’s business at the Queen Victoria Market, an approach which has been incorporated into every aspect of the business. From humble beginnings the group has bought a market-challenging owner’s mindset to the retail scene, becoming a major player in the Australasian marketplace. About SRG’s BrandsSpotlight is Australasia’s largest craft, fabric and home interiors superstore inspiring customers to create, decorate and celebrate in their homes.Anaconda is Australia’s fastest-growing outdoor adventure superstore with a mission to equip, inspire and enable Aussies to make memories outdoors every day.Harris Scarfe is Australia’s oldest department store chain, bringing to the group 170 years of quality home decor, kitchenware, and noted apparel brands.Mountain Designs represents the very best in Australian designed- and engineered outdoor apparel and equipment and was acquired by the group in 2018.Spotlight Group also owns and operates over 150 premises, across four countries, occupying over 4.2 million square feet of retail space and employing over 8,500 staff.SRG operates a shared services model with the Melbourne-headquartered group supporting the retail brands in finance, IT, supply chain, marketing, human resources and payroll. One of the critical elements that binds SRG's brands together is a shared set of values: People, Success & Excellence.These values are underpinned by best-in-class team and product training programs, ‘Talk Back to the Boss’ open communication policies, and a long history of putting community values and engagement first, supported by the Spotlight Foundation.",,1845,"South Melbourne, Victoria, Australia",,,South Melbourne,,,,,,retail,,,,"Retail ,Consumer Goods ",1001-2000,,,,,,,,,,,,
Go Vita Group Ltd - Australia\'s Largest Wholesale & Retail Health Store Group,https://www.linkedin.com/company/go-vita-australia,https://www.linkedin.com/company/4822959,govita.com.au,"Go Vita is Australia’s largest health food group. What began as a small group of passionate retailers in the early eighties has now grown and developed into a successful end to end distribution and retail business.  A centralised distribution centre in Sydney services 120+ Go Vita Retail health shops across Australia, representing 25% of all health food outlets in Australia. All independently owned and operated, Go Vita brings together the unique talents, skills and passion of the individual owners and their staff to ensure a personal approach to our customers’ health, wellness and vitality needs. Go Vita operates a modern warehouse and distribution centre in Sydney, from there we distribute to Go Vita health food shops as well as providing third party distribution to more than 500 independent health food stores Australia-wide. Our warehouse carries in excess of 5,000 products from over 170 suppliers, including natural health supplements, whole foods, sport’s products, natural skin and hair care, essential oils,  specialised dietary products, water purifiers, drink bottles, bamboo underwear and much much more! As a distributor Go Vita offers an extensive range of products manufactured locally and internationally. When you combine this with our quality service and competitive pricing the Go Vita warehouse provides a one stop shop for health food retailers. Go Vita have their own range of health supplements and health foods that we create, distribute and market under the NutriVital brand name. We continue to attract interest from overseas suppliers’ intent on getting a foothold in the Australian natural health market in. We are keen to develop exclusive distribution arrangements for unique natural health and wellness products for Go Vita.",,103,"Woodpark, New South Wales, Australia",,,Wetherill Park,,,,,,wellness and fitness services,,,,"Health,wellness,health food,Vitamins,Supplements,women's health,men's health",51-200,,,,,,,,,,,,
Retail Safari,https://www.linkedin.com/company/retail-safari,https://www.linkedin.com/company/3219664,retailsafari.com.au,"Retail Safari provides a complementary suite of retail marketing services that connect the consumer with a brand in environments where the ability to influence is at its strongest. Our integrated channel structure activates brands along the purchase journey, triggering the impulse to buy at critical points both in-store and out-of-store.As part of Australia’s biggest sales and field marketing group, CPM Australia, Retail Safari offers unrivalled international experience and know-how combined with local insights, national coverage and execution excellence.Discover more about Retail Safari at www.retailsafari.com.au",2013,131,"Wantirna, Victoria, Australia",,,Wantirna South,,,,,+61392112300,marketing services,marketing and advertising,,,"Local Area Marketing,Retail Activation,Merchandising,Assisted Selling,Creative Solutions,Training Solutions,Mystery Shopping,Activations,Insight & Analytics,Virtual Product Advisors,Digital Shelf Analytics,Retail Marketing,Field Sales,Field Support",51-200,"https://twitter.com/Retail_Safari, http://www.facebook.com/cpmaus","analytics, insight, activations, creative solutions, merchandising, retail activation, mystery shopping, training solutions, local area marketing, assisted selling",,,,,,,,,,
Ergon Energy Retail,https://www.linkedin.com/company/ergon-energy-retail,https://www.linkedin.com/company/3762108,ergon.com.au,"Ergon Energy Retail is committed to understanding and solving your energy needs.We help more than 700,000 customers across regional Queensland achieve their lifestyle and business goals by providing expert energy advice and great service.We’re proud to employ Queenslanders right across the state. We love our communities and playing our part in helping them thrive. We’re here for you, because we’re 100% Queensland owned. It’s your energy.Ergon Energy Retail acknowledges the Traditional Custodians of the land on which we live and work, and recognise their continuing connection to land, waters and community. We pay respect to Elders past and present.",,162,"Shelly Beach, Queensland, Australia",,,Townsville,,,,,,utilities,,,,"energy retailing,electricity",51-200,,,,,,,,,,,,
NAB,https://www.linkedin.com/company/nab,https://www.linkedin.com/company/2357,nab.com.au,We're here to be the most customer-centric company in Australian and New Zealand. We’re focused on what matters most and here to support you with your banking needs in any way we can. We’re open for business. Connect with us: www.nab.com.au/contact-us ,,36387,"Docklands, Victoria, Australia",,,Melbourne,,,,,,banking,,,,"Retail & Wholesale Banking,Financial Products and Services",10000+,,,,,,,,,,,,
MUJI Retail (Australia) Pty Ltd,https://www.linkedin.com/company/muji-retail-australia-pty-ltd,https://www.linkedin.com/company/17995445,muji.com,"MUJI, originally founded in Japan in 1980, offers a wide variety of good quality products including household goods, apparel and food. MUJI in Japanese, translates as “no-brand quality goods”. There are more than 900 MUJI stores in 29 countries, with more than 7,000 items ranging from clothing and household goods to food and even houses.In August 2013, MUJI Retail (Australia) Pty. Ltd. was founded as a subsidiary of Ryohin Keikaku Co., Ltd. (http://ryohin-keikaku.jp/eng/), parent company of MUJI, to introduce Australia to the MUJI brand. There are currently 2 stores in the state of Victoria, 2 stores in New South Wales and 1 store in Canberra, with more planned in the near future.",,123,"Melbourne, Victoria, Australia","Carlton, Victoria, Australia",,Melbourne,,,,,,retail,,,,"retail,fashion,household,health and beauty,kids",51-200,,,,,,,,,,,,
Lendlease,https://www.linkedin.com/company/lendlease,https://www.linkedin.com/company/4853,lendlease.com,"Lendlease is Australia’s leading real estate business with an international investments platform. We’re city shapers, asset creators and trusted partners.  Our deep property experience and bold thinking delivers innovative real estate and investment solutions. Very few organisations can build cities from scratch, including the infrastructure to connect people, with skills to design, develop, fund, build and manage, but we can.   We purposefully seek to hire people who share our values and passion to make a positive impact. Whether big or small, we make a difference and all of us have a part to play in our success. Together we make a difference.",,11099,"Millers Point, New South Wales, Australia",,,Barangaroo,,,,,,real estate,,,,"Property,Retail,Building,Urban Regeneration,Investment Management,Construction,Development",10000+,,,,,,,,,,,,
Happytel Retail Group,https://www.linkedin.com/company/behappytel,https://www.linkedin.com/company/19074806,happytel.com,"We live in a mobile world where businesses, homes and lives are intertwined by the devices at our fingerprints.  Therefore our mission is simple - we create happiness by providing perfect mobile solutions for everyone.  So visit Happytel for all your phone case, repair or mobile accessory needs.  ",,107,"Auburn, New South Wales, Australia",,,Auburn,,,,,,retail,,,,Mobile Phone,51-200,,,,,,,,,,,,
Retail Prodigy Group,https://www.linkedin.com/company/retail-prodigy-group,https://www.linkedin.com/company/3754604,retailprodigygroup.com,"Retail Prodigy Group (RPG) was launched in 2011 with a simple but bold purpose, To Provide the Ultimate Customer Experience. Assembling a Team of World Class Retailers, RPG represents global brands such as NIKE and SAMSUNG and most recently MATTEL and continues to search for new brands to strengthen its portfolio. RPG holds the master retail franchise for NIKE with over 40 stores across AUS/NZ. RPG is also the Retail Operations partner for the Samsung Experience Stores (SES) and Samsung Studios across Australia. In July 2023 RPG also become the retail partner of the Mattel online store in Australia. As Brand Ambassadors, the Team at RPG are committed to setting new standards of retail excellence. RPG's Blueprint represents the Customer Centric Culture of the Company, stemming from 5 core values of CARE, COACH, ENERGY, ACCOUNTABILITY and INNOVATE. We are focused on attracting and retaining the best retail talent and we are committed to building a culture where our team are constantly challenged, learning and of course having fun! RPG also offers access to training, career progression and excellent employee benefits. Want to be part of a Team that is passionate about providing The Ultimate Customer Experience? Then look no further.For more information, check us out at:www.retailprodigygroup.com",,142,"Brighton, Victoria, Australia",,,Brighton,,,,,,apparel and fashion,,,,"NIKE,Retail,Footwear,Apparel & Fashion,Sporting Goods,Merchandising,Womenswear,Menswear,Health & Fitness",51-200,,,,,,,,,,,,
Super Retail Group,https://www.linkedin.com/company/super-retail-group,https://www.linkedin.com/company/1589425,superretailgroup.com,"At Super Retail Group, we inspire you to live your passion. We are the proud owner of four iconic brands: Supercheap Auto, rebel, BCF and Macpac, and are one of Australia and New Zealand’s largest retailers.Our powerful brands have established, leading positions in growing high-involvement lifestyle categories of auto, sports and outdoor leisure. We provide our customers and highly engaged eight million active loyalty club members with the option to experience our brands whenever and however they choose – whether that’s through our network of circa 700 stores or via our digital capabilities, which we continue to enhance.",1972,1850,"Brendale, Queensland, Australia",,,Strathpine ,,,"6 coulthards avenue, strathpine, queensland, australia",4500,+61734827900,retail,,,,,1001-2000,,,2600668000,"Atlassian Cloud, YouTube, Route 53, Outlook, Mobile Friendly, Mimecast, Microsoft-IIS, Microsoft Office 365, Google Analytics, Facebook Widget, Facebook Login (Connect), DynECT, Amazon Elastic Load Balancer, Amazon CloudFront, Amazon AWS, ASP.NET",,,,,735487,,,
Emirates Leisure Retail ANZ,https://www.linkedin.com/company/elra-nz,https://www.linkedin.com/company/3681150,emiratesleisureretail.com,"Emirates Leisure Retail (ELR), a subsidiary of the high-profile Emirates Group, owns and operates over 300 restaurants, cafes and bars across Asia, The Middle East, Australia and New Zealand.Launching into Australia in 2008, ELRA has rapidly expanded into the airport bar and restaurant marketplace, setting the benchmark globally in premium airport dining.With bespoke concepts and high-profile brand collaborations and partnerships, ELRANZ currently operates 30+ venues, including Heineken House, AFL Kitchen and Bar, Penfolds Wine Bar and Kitchen, Pret A Manger, Tiger Den, and multiple Hudsons Coffee venues.ELRANZ has built a reputation for delivering exceptional guest experiences, with an approach to business centered on teamwork, service, integrity, quality and results. These values continually guide and direct our company and act as a standard to be achieved.		 ELRANZ looks forward to growing alongside the travel industry and continuing to transform the food & beverage offer for the travelling consumer.  ",,96,"Melbourne, Victoria, Australia","Carlton, Victoria, Australia",,Melbourne,,,,,,food and beverage services,,,,"Coffee,Franchising,Bars,Restaurants,Gourmet,Meals,Food,Travel,airport dining",51-200,,,,,,,,,,,,
Coles Group,https://www.linkedin.com/company/colesgroup,https://www.linkedin.com/company/163144,colescareers.com.au,"Coles Group is home to some of Australia’s iconic and most trusted brands and is one of the biggest employers with more than 1115,000 team members in every state and territory. Our workforce is diverse including groceries and liquor retail operations, online, manufacturing, cleaning and trolley services, drivers, supply chain, and commercial and corporate services.Our vision is to become the most trusted retailer in Australia and grow long-term shareholder value.Our purpose is Helping Australians eat and live better every day.Our priority is to provide leading food, drink, and home solutions that are delicious, sustainable, and healthy for our customers every day, both in-store and online.At Coles Group you’ll belong to an inclusive culture that’s as diverse as the communities we’re a trusted part of. You’ll also get to see the impacts of your work in those communities.We’re a team that grows together, and we always make sure we’re doing the best for Australians – now and into the future.Your ideas, your enthusiasm, and your passion – we’re looking for people like you to join the team, sustainably feed Australians, and help them eat and live better every day.",,11012,"Hawthorn East, Victoria, Australia",,,Melbourne,,,,,,retail,,,,"Retail,Customer Service,Buying,Merchandise,Retail Marketing,Supply Chain Logistics,Store Development,Retail Operations,Multichannel Retail,Customer Insights and Loyalty,Retail Technology,Financial Services,Supermarkets,Food & Beverage,Technology,Digital,Convenience",10000+,,,,,,,,,,,,
Airport Retail Enterprises Australia,https://www.linkedin.com/company/airport-retail-enterprises-australia,https://www.linkedin.com/company/1600982,airportretail.com.au,"ARE has operated leading Food & Beverage outlets in Australian airports since 1971. As of 1 May 2024, SSP Group plc (“SSP”) is now the owner of Airport Retail Enterprises Pty Ltd (“ARE”).",,208,"Hendra, Queensland, Australia",,,Brisbane,,,,,,retail,,,,,201-500,,,,,,,,,,,,
ANZ,https://www.linkedin.com/company/anz,https://www.linkedin.com/company/2437,anz.com,"ANZ has a proud heritage of more than 180 years.Our purpose is to shape a world where people and communities thrive. That is why we strive to create a balanced, sustainable economy in which everyone can take part and build a better life.We employ more than 50,000 people and have our global headquarters in Melbourne. ANZ is among the top 4 banks in Australia, the largest banking group in New Zealand and Pacific, and among the top 50 banks in the world.Follow us elsewhere for our latest news:facebook.com/ShayneElliottANZfacebook.com/ANZAustraliafacebook.com/ANZNewZealandtwitter.com/ANZ_AUtwitter.com/ANZ_NZ twitter.com/ANZ_Mediatwitter.com/ANZ_BlueNotestwitter.com/ANZ_Researchinstagram.com/anz_au bluenotes.anz.com",,50800,"Docklands, Victoria, Australia",,,Melbourne,,,,,,banking,,,,"Retail Banking,Private Banking,Commercial Banking,Wealth Management,Institutional Banking",10000+,,,,,,,,,,,,info@anz.com
Retail First Pty Ltd,https://www.linkedin.com/company/retail-first-pty-ltd,https://www.linkedin.com/company/2030913,retailfirst.com.au,"Retail First provides specialised retail and commercial property services to business and property owners.Managing Director, Steven Bridges, and Director, Michael Jeffries, work closely with YFG Shopping Centres and Trondage in offering a suite of specialised services through Retail First.With 20 shopping centres under management, each centre benefits from the head office expertise and facilities.  Our strengths in terms of knowledge base and capacity include:Asset management and developmentOperations and risk managementRetail LeasingMarketingInformation technologyFinancial managementWith the ability to attract and retain the most committed staff and provide them with the best equipment and resources to do the job, we are standing apart from our competitors, minimising the client's risk while maximising returns.",2003,131,"Robertson, Queensland, Australia",,,Sunnybank,,,,,+61733238888,retail,,,,,51-200,https://twitter.com/retailfirst,,15000000,"reCAPTCHA, WordPress.org, Outlook, Mobile Friendly, Microsoft Office 365, MailChimp SPF, Gravity Forms, Google Places, Google Maps, Google Analytics, Flywheel, Cloudflare DNS, CloudFlare Hosting",,,,,,,,
MYER,https://www.linkedin.com/company/myer,https://www.linkedin.com/company/288900,myer.com.au,"Myer is one of Australia’s largest department store groups with a focus on placing customers first in every decision we make and every action we take.We operate 57 department stores across Australia. With over 10,000 team members, we are committed to being Australia’s favourite department store: providing friendly, helpful service, high quality and exclusive brands, and offering compelling value. Our team members are at the very heart of Myer. We offer team members a rewarding and exciting career path with many opportunities across our retail stores and support office. Our team members have the opportunity to learn about the retail industry, have access to exclusive discounts and offers, training and development, and work in a fun, engaging and challenging environment. ",1900,5792,"Docklands, Victoria, Australia",,,Docklands,,,,,+61892655600,retail,,,,"Retail,Cosmetics,Department store,Accessories,Womenswear,Homewares,Menswear,Entertainment,Childrenswear,Fashion,luxury,Experience,brands,online,omnichanel,beauty,on trend,fast fashion,consumer,fmcg",5001-10000,"https://twitter.com/myer, https://facebook.com/myer","cosmetics, retail, entertainment, accessories, fashion, online, fmcg, beauty, shopping, luxury, consumer, menswear, experience, brands, homewares, department stores, omnichanel, womenswear, department store, childrenswear, on trend, fast fashion",2089003000,"React Redux, Afterpay, iGoDigital, VueJS, Umbraco, Salesforce, Route 53, Outlook, New Relic, Mobile Friendly, Microsoft Office 365, Microsoft Application Insights, IBM Websphere, Hotjar, Google Tag Manager, Google Play, Google Analytics, ExactTarget, DynamicYield, Citrix NetScaler, Brightroll, Bluekai, Bazaarvoice, Atlassian Cloud, Amazon SES, Amazon AWS, AWS SDK for JavaScript",,,,,16112,,,
Pacific Blue Australia,https://www.linkedin.com/company/pacific-blue-australia,https://www.linkedin.com/company/47324,pacificblue.com.au,"Pacific Blue is a leading Australian energy company. As a generator, we own, operate, and develop wind and solar farms and hydro plants that produce only 100% clean energy right here in Australia — and have for more than 30 years. Through our retail energy plans, we’ve helped Australians save money to power their homes and businesses for more than a decade.Our renewable energy projects deliver positive social, environmental, and economic outcomes, and we are proud to have established a Community Benefits Sharing Program that has provided over $5 million in support to Australian communities.We share the economic benefits of our renewable energy generation projects with local and indigenous communities, ensuring everyone benefits, now. Join us in empowering a clean energy future, today. Work with us: https://www.pacificblue.com.au/about-us/contact-us/work-with-usWho we are: https://www.pacificblue.com.au/about-us/who-we-areCommunity funding and engagement: https://www.pacificblue.com.au/our-energy-production/community-funding-and-engagement",,220,"Docklands, Victoria, Australia",,,Docklands,,,,,,renewable energy semiconductor manufacturing,renewables and environment,,,"renewable energy,wind farms,clean energy,solar farms,run-off-river hydros",201-500,,,,,,,,,,,,
Vicinity Centres,https://www.linkedin.com/company/vicinity_centres,https://www.linkedin.com/company/754227,vicinity.com.au,"From Chadstone to Joondalup, and Chatswood to Elizabeth, Vicinity’s destinations span the breadth of our great sunburnt country.Our destinations serve as important hubs for our communities, whether it’s in housing essential grocery stores or pharmacies, offering Australia’s largest collection of luxury retail brands, or providing a spot to share a bite with family and friends with places to dine offering cuisine from every corner of the planet. Our destinations are evolving, delivering an unparalleled data-led retail mix to offer new experiences to maintain their market-leading positions. We’re on an exciting journey to shaping meaningful places where communities connect.We manage over 2.5-million square metres of leasable space and with such a large footprint, we know our commitment to sustainability can have a real impact on the everyday lives of our communities. Our sustainability journey is never-ending but to date has seen us focus on social sustainability in the form of a Modern Slavery Statement and responsible procurement policies, and on environmental sustainability with our market-leading $75-million investment in solar energy systems at more than 20 destinations nationally, and waste reduction practices.With so much going on, change is the only constant at Vicinity, and we love it!",2015,1282,"Chadstone, Victoria, Australia",,,Chadstone,,,"level 4, 1341 dandenong road, chadstone, victoria 3148, au",3145,+61370014000,real estate,,,,Retail Property Management,1001-2000,"https://twitter.com/vicinitycentres, https://facebook.com/VicinityCentres/",retail property management,986144000,"Vercel, Umbraco, Atlassian Cloud, YouTube, Pardot, New Relic, Mobile Friendly, Microsoft Office 365, Linkedin Marketing Solutions, Google Tag Manager, Google Maps, Google Font API, Google Analytics, CloudFlare Hosting, CloudFlare CDN, CSC Corporate Domains",,,,,568317,,,
